Sample,Sampling,Desc1,Desc2,Treat,Prof,Stage,Plot,Rep,sum,Rel_ab
M8499,1,AWD_IN_T,IN_T,AWD,T,IN,P01,1,0.001983266,0.198326619
M8500,1,AWD_IN_B,IN_B,AWD,B,IN,P01,1,0.000650759,0.065075922
M8501,1,MSD_IN_T,IN_T,MSD,T,IN,P02,1,0.002293152,0.229315153
M8502,1,MSD_IN_B,IN_B,MSD,B,IN,P02,1,0.001301518,0.130151844
M8503,1,CON_IN_T,IN_T,CON,T,IN,P03,1,0.001766346,0.176634645
M8504,1,CON_IN_B,IN_B,CON,B,IN,P03,1,0.001301518,0.130151844
M8505,1,MSD_IN_T,IN_T,MSD,T,IN,P04,2,0.001084599,0.10845987
M8506,1,MSD_IN_B,IN_B,MSD,B,IN,P04,2,0.001704369,0.170436938
M8507,1,AWD_IN_T,IN_T,AWD,T,IN,P05,2,0.001549427,0.154942671
M8508,1,AWD_IN_B,IN_B,AWD,B,IN,P05,2,0.001177564,0.11775643
M8509,1,CON_IN_T,IN_T,CON,T,IN,P06,2,0.001611404,0.161140378
M8510,1,CON_IN_B,IN_B,CON,B,IN,P06,2,0.002726991,0.272699101
M8511,1,MSD_IN_T,IN_T,MSD,T,IN,P07,3,0.001983266,0.198326619
M8512,1,MSD_IN_B,IN_B,MSD,B,IN,P07,3,0.001735358,0.173535792
M8513,1,CON_IN_T,IN_T,CON,T,IN,P08,3,0.002076232,0.207623179
M8514,1,CON_IN_B,IN_B,CON,B,IN,P08,3,0.001518438,0.151843818
M8515,1,AWD_IN_T,IN_T,AWD,T,IN,P09,3,0.001673381,0.167338085
M8516,1,AWD_IN_B,IN_B,AWD,B,IN,P09,3,0.001766346,0.176634645
M8517,1,AWD_IN_T,IN_T,AWD,T,IN,P10,4,0.002355129,0.23551286
M8518,1,AWD_IN_B,IN_B,AWD,B,IN,P10,4,0.002045243,0.204524326
M8519,1,MSD_IN_T,IN_T,MSD,T,IN,P11,4,0.001177564,0.11775643
M8520,1,MSD_IN_B,IN_B,MSD,B,IN,P11,4,0.001580415,0.158041525
M8521,1,CON_IN_T,IN_T,CON,T,IN,P12,4,0.001332507,0.133250697
M8522,1,CON_IN_B,IN_B,CON,B,IN,P12,4,0.002200186,0.220018593
M8523,1,MSD_IN_T,IN_T,MSD,T,IN,P13,5,0.002169197,0.21691974
M8524,1,MSD_IN_B,IN_B,MSD,B,IN,P13,5,0.00127053,0.12705299
M8525,1,AWD_IN_T,IN_T,AWD,T,IN,P14,5,0.002448094,0.244809421
M8526,1,AWD_IN_B,IN_B,AWD,B,IN,P14,5,0.001611404,0.161140378
M8527,1,CON_IN_T,IN_T,CON,T,IN,P15,5,0.00254106,0.254105981
M8528,1,CON_IN_B,IN_B,CON,B,IN,P15,5,0.002634025,0.263402541
M8591,2,AWD_GS_T,GS_T,AWD,T,GS,P01,1,0.001363496,0.136349551
M8592,2,AWD_GS_B,GS_B,AWD,B,GS,P01,1,0.000371862,0.037186241
M8593,2,MSD_GS_T,GS_T,MSD,T,GS,P02,1,0.001704369,0.170436938
M8594,2,MSD_GS_B,GS_B,MSD,B,GS,P02,1,0.000929656,0.092965603
M8595,2,CON_GS_T,GS_T,CON,T,GS,P03,1,0.00127053,0.12705299
M8596,2,CON_GS_B,GS_B,CON,B,GS,P03,1,0.001301518,0.130151844
M8597,2,MSD_GS_T,GS_T,MSD,T,GS,P04,2,0.000805702,0.080570189
M8598,2,MSD_GS_B,GS_B,MSD,B,GS,P04,2,0.001580415,0.158041525
M8599,2,AWD_GS_T,GS_T,AWD,T,GS,P05,2,0.000929656,0.092965603
M8600,2,AWD_GS_B,GS_B,AWD,B,GS,P05,2,0.00127053,0.12705299
M8601,2,CON_GS_T,GS_T,CON,T,GS,P06,2,0.002634025,0.263402541
M8602,2,CON_GS_B,GS_B,CON,B,GS,P06,2,0.002448094,0.244809421
M8603,2,MSD_GS_T,GS_T,MSD,T,GS,P07,3,0.000898667,0.089866749
M8604,2,MSD_GS_B,GS_B,MSD,B,GS,P07,3,0.001177564,0.11775643
M8605,2,CON_GS_T,GS_T,CON,T,GS,P08,3,0.002076232,0.207623179
M8606,2,CON_GS_B,GS_B,CON,B,GS,P08,3,0.00105361,0.105361016
M8607,2,AWD_GS_T,GS_T,AWD,T,GS,P09,3,0.000960645,0.096064456
M8608,2,AWD_GS_B,GS_B,AWD,B,GS,P09,3,0.000960645,0.096064456
M8609,2,AWD_GS_T,GS_T,AWD,T,GS,P10,4,0.001146576,0.114657577
M8610,2,AWD_GS_B,GS_B,AWD,B,GS,P10,4,0.001394484,0.139448404
M8611,2,MSD_GS_T,GS_T,MSD,T,GS,P11,4,0.001363496,0.136349551
M8612,2,MSD_GS_B,GS_B,MSD,B,GS,P11,4,0.001239541,0.123954137
M8613,2,CON_GS_T,GS_T,CON,T,GS,P12,4,0.001239541,0.123954137
M8615,2,MSD_GS_T,GS_T,MSD,T,GS,P13,5,0.00148745,0.148744964
M8616,2,MSD_GS_B,GS_B,MSD,B,GS,P13,5,0.001208553,0.120855284
M8617,2,AWD_GS_T,GS_T,AWD,T,GS,P14,5,0.000681748,0.068174775
M8618,2,AWD_GS_B,GS_B,AWD,B,GS,P14,5,0.001673381,0.167338085
M8619,2,CON_GS_T,GS_T,CON,T,GS,P15,5,0.001394484,0.139448404
M8620,2,CON_GS_B,GS_B,CON,B,GS,P15,5,0.001394484,0.139448404
M8726,3,AWD_GS_T,GS_T,AWD,T,GS,P01,1,0.00105361,0.105361016
M8727,3,AWD_GS_B,GS_B,AWD,B,GS,P01,1,0.000526805,0.052680508
M8728,3,MSD_GS_T,GS_T,MSD,T,GS,P02,1,0.001704369,0.170436938
M8729,3,MSD_GS_B,GS_B,MSD,B,GS,P02,1,0.000991633,0.09916331
M8730,3,CON_GS_T,GS_T,CON,T,GS,P03,1,0.001859312,0.185931205
M8731,3,CON_GS_B,GS_B,CON,B,GS,P03,1,0.00127053,0.12705299
M8732,3,MSD_GS_T,GS_T,MSD,T,GS,P04,2,0.000929656,0.092965603
M8733,3,MSD_GS_B,GS_B,MSD,B,GS,P04,2,0.001146576,0.114657577
M8734,3,AWD_GS_T,GS_T,AWD,T,GS,P05,2,0.00105361,0.105361016
M8735,3,AWD_GS_B,GS_B,AWD,B,GS,P05,2,0.000867679,0.086767896
M8736,3,CON_GS_T,GS_T,CON,T,GS,P06,2,0.001611404,0.161140378
M8737,3,CON_GS_B,GS_B,CON,B,GS,P06,2,0.001115587,0.111558723
M8738,3,MSD_GS_T,GS_T,MSD,T,GS,P07,3,0.001239541,0.123954137
M8739,3,MSD_GS_B,GS_B,MSD,B,GS,P07,3,0.001115587,0.111558723
M8740,3,CON_GS_T,GS_T,CON,T,GS,P08,3,0.001828324,0.182832352
M8741,3,CON_GS_B,GS_B,CON,B,GS,P08,3,0.001704369,0.170436938
M8742,3,AWD_GS_T,GS_T,AWD,T,GS,P09,3,0.001022622,0.102262163
M8743,3,AWD_GS_B,GS_B,AWD,B,GS,P09,3,0.000898667,0.089866749
M8744,3,AWD_GS_T,GS_T,AWD,T,GS,P10,4,0.000681748,0.068174775
M8745,3,AWD_GS_B,GS_B,AWD,B,GS,P10,4,0.001239541,0.123954137
M8746,3,MSD_GS_T,GS_T,MSD,T,GS,P11,4,0.001456461,0.145646111
M8747,3,MSD_GS_B,GS_B,MSD,B,GS,P11,4,0.001363496,0.136349551
M8748,3,CON_GS_T,GS_T,CON,T,GS,P12,4,0.001549427,0.154942671
M8749,3,CON_GS_B,GS_B,CON,B,GS,P12,4,0.000619771,0.061977068
M8750,3,MSD_GS_T,GS_T,MSD,T,GS,P13,5,0.001177564,0.11775643
M8751,3,MSD_GS_B,GS_B,MSD,B,GS,P13,5,0.000495817,0.049581655
M8752,3,AWD_GS_T,GS_T,AWD,T,GS,P14,5,0.002355129,0.23551286
M8753,3,AWD_GS_B,GS_B,AWD,B,GS,P14,5,0.001425473,0.142547258
M8754,3,CON_GS_T,GS_T,CON,T,GS,P15,5,0.002696002,0.269600248
M8755,3,CON_GS_B,GS_B,CON,B,GS,P15,5,0.002788968,0.278896808
M8814,4,AWD_GS_T,GS_T,AWD,T,GS,P01,1,0.00105361,0.105361016
M8815,4,AWD_GS_B,GS_B,AWD,B,GS,P01,1,0.001177564,0.11775643
M8816,4,MSD_GS_T,GS_T,MSD,T,GS,P02,1,0.000619771,0.061977068
M8817,4,MSD_GS_B,GS_B,MSD,B,GS,P02,1,0.001363496,0.136349551
M8818,4,CON_GS_T,GS_T,CON,T,GS,P03,1,0.001828324,0.182832352
M8819,4,CON_GS_B,GS_B,CON,B,GS,P03,1,0.001704369,0.170436938
M8820,4,MSD_GS_T,GS_T,MSD,T,GS,P04,2,0.001766346,0.176634645
M8821,4,MSD_GS_B,GS_B,MSD,B,GS,P04,2,0.000774713,0.077471336
M8822,4,AWD_GS_T,GS_T,AWD,T,GS,P05,2,0.00083669,0.083669042
M8823,4,AWD_GS_B,GS_B,AWD,B,GS,P05,2,0.000867679,0.086767896
M8824,4,CON_GS_T,GS_T,CON,T,GS,P06,2,0.002169197,0.21691974
M8825,4,CON_GS_B,GS_B,CON,B,GS,P06,2,0.001301518,0.130151844
M8826,4,MSD_GS_T,GS_T,MSD,T,GS,P07,3,0.001518438,0.151843818
M8827,4,MSD_GS_B,GS_B,MSD,B,GS,P07,3,0.00083669,0.083669042
M8828,4,CON_GS_T,GS_T,CON,T,GS,P08,3,0.002572048,0.257204834
M8829,4,CON_GS_B,GS_B,CON,B,GS,P08,3,0.002138209,0.213820886
M8830,4,AWD_GS_T,GS_T,AWD,T,GS,P09,3,0.000619771,0.061977068
M8831,4,AWD_GS_B,GS_B,AWD,B,GS,P09,3,0.001084599,0.10845987
M8832,4,AWD_GS_T,GS_T,AWD,T,GS,P10,4,0.001177564,0.11775643
M8833,4,AWD_GS_B,GS_B,AWD,B,GS,P10,4,0.000526805,0.052680508
M8834,4,MSD_GS_T,GS_T,MSD,T,GS,P11,4,0.000805702,0.080570189
M8835,4,MSD_GS_B,GS_B,MSD,B,GS,P11,4,0.000898667,0.089866749
M8836,4,CON_GS_T,GS_T,CON,T,GS,P12,4,0.000991633,0.09916331
M8837,4,CON_GS_B,GS_B,CON,B,GS,P12,4,0.002014255,0.201425473
M8838,4,MSD_GS_T,GS_T,MSD,T,GS,P13,5,0.002293152,0.229315153
M8839,4,MSD_GS_B,GS_B,MSD,B,GS,P13,5,0.001425473,0.142547258
M8840,4,AWD_GS_T,GS_T,AWD,T,GS,P14,5,0.001735358,0.173535792
M8841,4,AWD_GS_B,GS_B,AWD,B,GS,P14,5,0.001425473,0.142547258
M8842,4,CON_GS_T,GS_T,CON,T,GS,P15,5,0.001518438,0.151843818
M8843,4,CON_GS_B,GS_B,CON,B,GS,P15,5,0.001673381,0.167338085
M8949,5,AWD_FS_B,FS_B,AWD,B,FS,P01,1,0.001239541,0.123954137
M8950,5,MSD_FS_B,FS_B,MSD,B,FS,P02,1,0.00148745,0.148744964
M8951,5,CON_FS_B,FS_B,CON,B,FS,P03,1,0.001549427,0.154942671
M8952,5,MSD_FS_B,FS_B,MSD,B,FS,P04,2,0.001425473,0.142547258
M8953,5,AWD_FS_B,FS_B,AWD,B,FS,P05,2,0.001580415,0.158041525
M8954,5,CON_FS_B,FS_B,CON,B,FS,P06,2,0.001425473,0.142547258
